epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,74.3591,0.59643,2.6022,0.92882,0.98382,0.86364,0.94957,0.66204,0.71689,3.45764,1.05936,0.00287324,0.00287324,0.00287324
68,75.4341,0.60855,2.85307,0.96665,0.94079,0.86364,0.95075,0.70766,0.6875,3.55691,1.05397,0.00286943,0.00286943,0.00286943
69,76.5491,0.60632,2.8516,0.99795,0.99339,0.87756,0.95651,0.70001,0.68528,3.37833,1.05823,0.00286556,0.00286556,0.00286556
70,77.6161,0.62646,2.66953,0.97829,0.99339,0.87756,0.95651,0.70001,0.68528,3.37833,1.05823,0.00286164,0.00286164,0.00286164
71,78.7031,0.64653,2.88613,1.0148,0.98738,0.94759,0.96179,0.71878,0.6778,3.21949,1.02575,0.00285767,0.00285767,0.00285767
72,79.7961,0.58136,2.75722,0.94688,0.98073,0.90304,0.94942,0.69173,0.67963,3.04214,1.01938,0.00285364,0.00285364,0.00285364
73,80.8821,0.60076,2.77942,0.94559,0.96954,0.92436,0.95562,0.68703,0.70561,3.12831,1.05117,0.00284956,0.00284956,0.00284956
74,81.9591,0.61198,2.88548,0.96091,0.97081,0.90328,0.95044,0.69517,0.70704,2.94081,1.03576,0.00284543,0.00284543,0.00284543
75,83.0491,0.66291,3.00293,1.00376,0.99541,0.95053,0.95413,0.71915,0.64692,2.84514,0.99833,0.00284124,0.00284124,0.00284124
76,84.2171,0.62993,2.81616,0.96825,0.97678,0.90542,0.94984,0.68653,0.64828,3.044,1.0056,0.002837,0.002837,0.002837
77,85.2971,0.56002,2.60438,0.9445,0.95703,0.90909,0.94834,0.71084,0.62635,2.99467,0.98855,0.00283271,0.00283271,0.00283271
78,86.3591,0.58459,2.67283,0.95319,0.95703,0.90909,0.94834,0.71084,0.62635,2.99467,0.98855,0.00282836,0.00282836,0.00282836
79,87.4431,0.61407,2.71808,0.968,0.97921,0.90909,0.95152,0.71518,0.59198,2.77605,0.97794,0.00282397,0.00282397,0.00282397
80,88.5141,0.59632,2.72961,0.97057,1,0.94871,0.95576,0.7297,0.61443,2.79825,1.01397,0.00281952,0.00281952,0.00281952
81,89.6251,0.58373,2.56953,0.94755,0.99038,0.90909,0.94551,0.72506,0.61002,2.92487,0.99642,0.00281502,0.00281502,0.00281502
